feature,train_importance,recent_importance,importance_change
date_idx,0.12467639727971219,0.35505364465343303,0.23037724737372084
rolling_vol_7,0.5546394975810081,0.43428168049949645,-0.12035781708151161
avg_trades_21d,0.433416166449897,0.35832953267872464,-0.07508663377117236
large_loss_recent,0.19714546632677954,0.2623658681046102,0.06522040177783067
rolling_vol_21,0.2693757882229889,0.21302646463988117,-0.056349323583107735
cumulative_pnl,0.19580859049008115,0.247328672417587,0.051520081927505845
daily_gross,0.1342593107510323,0.1006308739364397,-0.03362843681459261
gross_loss,0.1329310693258083,0.10127132824222809,-0.03165974108358022
ewm_pnl_7,0.05492144749713049,0.0828188698516294,0.027897422354498908
ewm_volume_7,0.06623790378919835,0.04694231751807873,-0.019295586271119616
ewm_volume_21,0.07681369933220494,0.059639939587989244,-0.0171737597442157
rolling_sortino_ratio,0.06929097295495892,0.08626324322766062,0.016972270272701692
rolling_profit_factor,0.14471561700318314,0.12819070517521747,-0.01652491182796567
daily_volume,0.1994506185785882,0.1833760634713978,-0.016074555107190414
ewm_volume_3,0.14163662945993688,0.12703912066166703,-0.014597508798269848
daily_fees,0.13325474920993835,0.12149197225542442,-0.011762776954513929
gross_profit,0.07632583090585625,0.06637826775062783,-0.00994756315522842
rolling_max_drawdown,0.04506032410181867,0.05408540116043714,0.00902507705861847
win_rate_21d,0.033050182280611295,0.024054814180457035,-0.00899536810015426
revenge_trading_proxy,0.03544640229001837,0.042909970818477805,0.007463568528459433
daily_loss_flag,0.023459417563380977,0.029582856985873804,0.006123439422492827
n_trades,0.07672232068060081,0.08183168060639309,0.005109359925792284
ewm_pnl_21,0.11954077057391448,0.12407594245049448,0.0045351718765800075
ewm_pnl_3,0.020670473148471945,0.02513531752300378,0.004464844374531835
avg_win_21d,0.0,0.0,0.0
avg_loss_21d,0.0,0.0,0.0
