fold,account_id,trade_date,true_pnl,pred_var,true_large_loss,pred_loss_proba
1,3942,2025-01-24,-5716.28309998,-5529.623659262499,1,0.151316260830812
1,3942,2025-01-27,-4812.6683,-6058.123476626704,1,0.14215421773163656
1,3942,2025-01-28,-1270.6276,-4809.239562929627,0,0.14664118819123476
1,3942,2025-01-29,-282.22670000000005,-5263.368638805531,0,0.14215421773163656
1,3942,2025-01-30,-853.6584,-5272.752851454783,0,0.151316260830812
1,3942,2025-01-31,-157.954377,-4785.910269182151,0,0.14664118819123476
1,3942,2025-02-03,-8.627193000000034,-5312.758633646247,0,0.14215421773163656
1,3942,2025-02-04,-1514.1967740000002,-5246.302288030546,0,0.151316260830812
1,3942,2025-02-05,-2500.806302,-5400.035206418524,0,0.151316260830812
1,3942,2025-02-06,596.6897449999999,-2843.0568620516156,0,0.053863091790044955
1,3942,2025-02-07,-1821.5348,-2584.852577729001,0,0.07129379921486763
1,3942,2025-02-10,-90.97485000000012,-1751.2819112155594,0,0.053863091790044955
1,3942,2025-02-11,-1079.0115,-2411.1182201041966,0,0.07129379921486763
1,3942,2025-02-12,0.0,-2130.6960676619633,0,0.05771751233885727
1,3942,2025-02-13,0.0,-1020.6466120125623,0,0.057789140721907335
1,3942,2025-02-14,0.0,-1122.5055015644677,0,0.053501048074862154
1,3942,2025-02-17,0.0,-1080.1461535917545,0,0.053501048074862154
1,3942,2025-02-18,0.0,-1028.2836437305143,0,0.053501048074862154
1,3942,2025-02-19,0.0,-979.3747077200709,0,0.053501048074862154
1,3942,2025-02-20,496.6133,-765.3655037482471,0,0.053501048074862154
1,3942,2025-02-21,2935.2605,-1725.787090203363,0,0.07536112290286498
1,3943,2025-01-24,0.0,-306.8777953073427,0,0.036693804772419514
1,3943,2025-01-27,0.0,-306.8777953073427,0,0.036693804772419514
1,3943,2025-01-28,0.0,-306.8777953073427,0,0.036693804772419514
1,3943,2025-01-29,0.0,-306.8777953073427,0,0.036693804772419514
1,3943,2025-01-30,0.0,-306.8777953073427,0,0.036693804772419514
1,3943,2025-01-31,0.0,-306.8777953073427,0,0.036693804772419514
1,3943,2025-02-03,0.0,-306.8777953073427,0,0.036693804772419514
1,3943,2025-02-04,0.0,-306.8777953073427,0,0.036693804772419514
1,3943,2025-02-05,0.0,-306.8777953073427,0,0.036693804772419514
1,3943,2025-02-06,0.0,-306.8777953073427,0,0.036693804772419514
1,3943,2025-02-07,21.0078,-306.8777953073427,0,0.036693804772419514
1,3943,2025-02-10,-115.33713,-166.96951188645932,0,0.036693804772419514
1,3943,2025-02-11,0.0,-870.6076013866049,0,0.03667873769443757
1,3943,2025-02-12,-28.6383,-1145.0386292718863,0,0.03663671205677014
1,3943,2025-02-13,0.0,-1217.4507642518709,0,0.03663671205677014
1,3943,2025-02-14,0.0,-642.3281814650982,0,0.03663671205677014
1,3943,2025-02-17,487.8909800000002,-642.3281814650982,0,0.03663671205677014
1,3943,2025-02-18,-6054.1181,-1943.458491822037,0,0.038751205628312496
1,3943,2025-02-19,1405.7066,-3413.3547029485385,0,0.09371299771603375
1,3943,2025-02-20,1783.6434499999998,-7855.175397937102,0,0.06211161689125424
1,3943,2025-02-21,1018.39908,-7010.865387196736,0,0.07023331918366707
1,3946,2025-01-24,1695.2189000000005,-4809.035997959141,0,0.12814033473722194
1,3946,2025-01-27,4863.388199999999,-6523.753198481357,0,0.151316260830812
1,3946,2025-01-28,-1567.1842000000001,-6184.255048255942,0,0.1825620698308837
1,3946,2025-01-29,2599.713,-5712.470061290369,0,0.1825620698308837
1,3946,2025-01-30,-3606.2171,-6518.010540837429,0,0.1825620698308837
1,3946,2025-01-31,-965.716555,-5815.272975281959,0,0.1825620698308837
1,3946,2025-02-03,1990.1992529999998,-5378.177971847922,0,0.1825620698308837
1,3946,2025-02-04,-3028.929968,-5759.640258634435,0,0.1825620698308837
1,3946,2025-02-05,-483.95836699999984,-5457.297959410915,0,0.1825620698308837
1,3946,2025-02-06,-3608.354588,-5251.634911140238,0,0.14664118819123476
1,3946,2025-02-07,1023.701163,-5312.405180143355,0,0.1825620698308837
1,3946,2025-02-10,89.00544600000012,-4880.014858433146,0,0.14664118819123476
1,3946,2025-02-11,-3327.855044,-5410.434366359599,0,0.14664118819123476
1,3946,2025-02-12,421.720957,-4218.521674079114,0,0.1825620698308837
1,3946,2025-02-13,1874.283588,-5219.846367918752,0,0.14664118819123476
1,3946,2025-02-14,0.0,-4474.616933448784,0,0.06659682102559643
1,3946,2025-02-17,40.61150700000002,-4207.215125866546,0,0.10613142460665781
1,3946,2025-02-18,4426.991682,-5298.494437140677,0,0.14664118819123476
1,3946,2025-02-19,5331.218017,-3906.1648810539764,0,0.07031593782360607
1,3946,2025-02-20,2069.08425,-5683.749451176338,0,0.17687181135449784
1,3946,2025-02-21,1166.18163,-5623.536700192188,0,0.17687181135449784
1,3950,2025-01-24,9921.458900000001,-24357.52027237148,0,0.14664118819123476
1,3950,2025-01-27,19683.7169,-25756.96461824976,0,0.14664118819123476
1,3950,2025-01-28,12079.4468,-23149.58690079136,0,0.14664118819123476
1,3950,2025-01-29,-57900.501000000004,-28088.40393692847,1,0.14664118819123476
1,3950,2025-01-30,-7808.4863000000005,-26159.799120878277,0,0.14664118819123476
1,3950,2025-01-31,22503.057156000003,-22622.213884483954,0,0.14664118819123476
1,3950,2025-02-03,348.2048479999976,-28446.439109748204,0,0.1825620698308837
1,3950,2025-02-04,-2011.204178,-27931.111170396758,0,0.1825620698308837
1,3950,2025-02-05,-3783.833090000001,-28022.51162767029,0,0.1825620698308837
1,3950,2025-02-06,19829.564941,-28437.262717689886,0,0.1825620698308837
1,3950,2025-02-07,49251.381810000006,-31307.550686672763,0,0.14664118819123476
1,3950,2025-02-10,-30095.176165999997,-32087.691594076983,1,0.17687181135449784
1,3950,2025-02-11,-7113.552761999999,-38600.56697226378,0,0.17687181135449784
1,3950,2025-02-12,-6210.766087999999,-35568.53994052308,0,0.17687181135449784
1,3950,2025-02-13,-48759.208685000005,-29017.08270131327,1,0.1825620698308837
